rank,symbol,inst_id,name_cn,1H_趋势,1H_交易价格,1H_交易时间,1H_盈亏%,1H_收盘价,MACD_1H,DIF_1H,ADX_1H,ATR_1H,SAR_1H,SAR颜色_1H,ER_1H,4H_趋势,4H_交易价格,4H_交易时间,4H_盈亏%,4H_收盘价,MACD_4H,DIF_4H,ADX_4H,ATR_4H,SAR_4H,SAR颜色_4H,ER_4H,1D_趋势,1D_交易价格,1D_交易时间,1D_盈亏%,1D_收盘价,MACD_1D,DIF_1D,ADX_1D,ATR_1D,SAR_1D,SAR颜色_1D,ER_1D,15m_趋势,15m_交易价格,15m_交易时间,15m_盈亏%,15m_收盘价,MACD_15m,DIF_15m,ADX_15m,ATR_15m,SAR_15m,SAR颜色_15m,ER_15m
21,CRO,CRO-USDT-SWAP,克罗诺斯,下跌,0.0599,2026-9-19 10:00:00,5.68,0.0595,-0.0001,0.0004,24.6,10.084,0.0589,green,0.1975,上涨,0.0559,2026-9-17 00:00:00,64.77,0.0595,0.0006,0.0006,25.36,21.8487,0.0589,green,0.619,上涨,0.0595,2026-9-19 00:00:00,0.0,0.0595,-0.0,0.0008,37.0,58.8235,0.0571,green,0.0766,下跌,0.0599,2026-9-19 10:45:00,5.68,0.0595,-0.0002,-0.0,25.32,5.042,0.0592,green,0.6259
22,XAUT,XAUT-USDT-SWAP,数字黄金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,INJ,INJ-USDT-SWAP,因哲媞,下跌,6.596,2026-9-19 00:00:00,-41.84,6.872,-0.0158,0.2114,58.25,21.6967,6.743,green,0.5154,上涨,5.404,2026-9-17 04:00:00,271.65,6.872,0.299,0.2408,32.75,35.3027,6.4979,green,0.8547,上涨,6.872,2026-9-19 00:00:00,0.0,6.872,0.14,0.3371,29.67,75.5384,5.4984,green,0.3374,下跌,6.858,2026-9-19 11:15:00,-2.04,6.872,0.0095,0.0604,28.72,9.7788,6.796,green,0.141
24,LINK,LINK-USDT-SWAP,链环,下跌,12.295,2026-9-19 06:00:00,-8.21,12.396,-0.0136,0.2127,48.9,11.0439,12.325,green,0.1011,上涨,11.051,2026-9-17 04:00:00,121.8,12.397,0.2897,0.2524,29.58,21.1261,12.21,green,0.7637,下跌,11.563,2026-8-28 00:00:00,-72.13,12.397,-0.1244,0.2755,36.5,53.2306,11.2289,green,0.2678,下跌,12.397,2026-9-19 11:45:00,0.0,12.397,0.0011,0.0361,22.33,4.9286,12.357,green,0.0311
25,NEAR,NEAR-USDT-SWAP,万物协议,下跌,3.527,2026-9-18 18:00:00,-64.93,3.756,-0.0365,0.1443,60.79,31.3898,3.752,green,0.3684,上涨,2.481,2026-9-16 16:00:00,513.91,3.756,0.1719,0.3448,60.17,45.6603,3.505,green,0.9807,上涨,3.653,2026-9-18 00:00:00,27.92,3.755,0.2555,0.345,50.73,75.1798,2.6286,green,0.8225,下跌,3.799,2026-9-19 11:00:00,11.85,3.754,-0.0106,0.0201,20.4,16.7288,3.752,green,0.7237
26,UNI,UNI-USDT-SWAP,优尼,下跌,8.683,2026-9-18 19:00:00,-24.42,8.895,-0.1114,0.2459,51.9,27.9595,8.894,green,0.2897,上涨,6.706,2026-9-17 04:00:00,326.72,8.897,0.339,0.6714,48.06,46.8697,8.685,green,0.7161,上涨,8.748,2026-9-18 00:00:00,17.03,8.897,0.3417,0.8092,49.98,78.0151,6.487,green,0.7243,下跌,9.025,2026-9-19 11:30:00,14.63,8.893,-0.0,0.0303,19.88,13.55,8.886,green,0.4239
27,TRUMP,TRUMP-USDT-SWAP,川普币,下跌,2.1,2026-9-19 01:00:00,25.24,2.047,-0.0213,0.0158,34.13,15.0464,2.038,green,1.0,上涨,1.93,2026-9-17 04:00:00,60.62,2.047,0.0364,0.0306,26.15,29.36,2.038,green,0.3288,下跌,2.397,2026-8-31 00:00:00,146.02,2.047,-0.0663,-0.0207,30.37,97.6551,1.9034,green,0.0525,上涨,2.062,2026-9-19 10:15:00,-7.27,2.047,-0.004,-0.0116,29.65,7.0835,2.038,green,0.3571
28,ZEC,ZEC-USDT-SWAP,,上涨,1501.69,2026-9-19 04:00:00,18.32,1529.2,7.4742,27.1612,26.53,21.0048,1525.6,green,0.1966,下跌,1456.23,2026-9-18 16:00:00,-49.9,1528.9,16.8991,92.2373,40.14,42.8982,1463.6,green,0.23,上涨,1482.48,2026-9-18 00:00:00,31.13,1528.63,53.894,172.0443,47.36,75.7486,1239.2004,green,0.7456,下跌,1567.31,2026-9-19 08:30:00,24.68,1528.63,-13.8428,7.0272,27.22,10.2598,1525.6,green,0.7721
29,HYPE,HYPE-USDT-SWAP,,下跌,91.352,2026-9-18 23:00:00,-25.67,93.697,-0.1359,2.0091,74.81,12.6013,92.7973,green,0.6306,上涨,79.305,2026-9-16 16:00:00,181.64,93.71,2.6396,3.5011,41.22,22.4971,89.5753,green,1.0,上涨,91.352,2026-9-18 00:00:00,25.66,93.696,0.4603,3.2523,31.6,53.0973,80.2432,green,0.5814,下跌,93.941,2026-9-19 11:30:00,2.61,93.696,0.0076,0.4951,22.78,5.6886,93.608,green,0.0086
30,CC,CC-USDT-SWAP,,下跌,0.1077,2026-9-18 19:00:00,-46.5,0.1128,-0.0001,0.002,45.68,14.1844,0.1109,green,0.4189,上涨,0.0931,2026-9-17 00:00:00,210.78,0.1128,0.0029,0.004,42.38,31.0284,0.1097,green,0.6951,上涨,0.1013,2026-9-17 00:00:00,112.58,0.1128,0.0018,-0.0019,18.99,62.9433,0.0988,green,0.4662,上涨,0.1132,2026-9-19 10:30:00,-3.89,0.1128,0.0001,0.0006,22.92,6.2057,0.1127,green,0.0698
